學年度,族籍別,性別,等級別,在學數
111,布農族,男,二專,35
111,布農族,男,五專,66
111,布農族,女,總計,2034
111,布農族,女,博士班,15
111,布農族,女,碩士班,198
111,布農族,女,學士班,1298
111,布農族,女,二專,71
111,布農族,女,五專,452
111,卑南族,男,總計,256
111,卑南族,男,博士班,5
111,卑南族,男,碩士班,30
111,卑南族,男,學士班,204
111,卑南族,男,二專,6
111,卑南族,男,五專,11
111,卑南族,女,總計,459
111,卑南族,女,博士班,3
111,卑南族,女,碩士班,47
111,卑南族,女,學士班,323
111,卑南族,女,二專,13
111,卑南族,女,五專,73
111,鄒族,男,總計,118
111,鄒族,男,博士班,6
111,鄒族,男,碩士班,11
111,鄒族,男,學士班,89
111,鄒族,男,二專,4
111,鄒族,男,五專,8
111,鄒族,女,總計,167
111,鄒族,女,博士班,0
111,鄒族,女,碩士班,25
111,鄒族,女,學士班,112
111,鄒族,女,二專,5
111,鄒族,女,五專,25
111,魯凱族,男,總計,308
111,魯凱族,男,博士班,4
111,魯凱族,男,碩士班,34
111,魯凱族,男,學士班,242
111,魯凱族,男,二專,3
111,魯凱族,男,五專,25
111,魯凱族,女,總計,499
111,魯凱族,女,博士班,4
111,魯凱族,女,碩士班,64
111,魯凱族,女,學士班,348
111,魯凱族,女,二專,13
111,魯凱族,女,五專,70
111,賽夏族,男,總計,122
111,賽夏族,男,博士班,2
111,賽夏族,男,碩士班,9
111,賽夏族,男,學士班,104
111,賽夏族,男,二專,2
111,賽夏族,男,五專,5
111,賽夏族,女,總計,200
111,賽夏族,女,博士班,4
111,賽夏族,女,碩士班,12
111,賽夏族,女,學士班,148
111,賽夏族,女,二專,2
111,賽夏族,女,五專,34
111,雅美族,男,總計,84
111,雅美族,男,博士班,0
111,雅美族,男,碩士班,4
111,雅美族,男,學士班,78
111,雅美族,男,二專,1
111,雅美族,男,五專,1
111,雅美族,女,總計,144
111,雅美族,女,博士班,0
111,雅美族,女,碩士班,6
111,雅美族,女,學士班,116
111,雅美族,女,二專,7
111,雅美族,女,五專,15
111,邵族,男,總計,17
111,邵族,男,博士班,1
111,邵族,男,碩士班,1
111,邵族,男,學士班,14
111,邵族,男,二專,1
111,邵族,男,五專,0
111,邵族,女,總計,37
111,邵族,女,博士班,0
111,邵族,女,碩士班,7
111,邵族,女,學士班,26
111,邵族,女,二專,0
111,邵族,女,五專,4
111,噶瑪蘭族,男,總計,30
111,噶瑪蘭族,男,博士班,0
111,噶瑪蘭族,男,碩士班,2
111,噶瑪蘭族,男,學士班,26
111,噶瑪蘭族,男,二專,0
111,噶瑪蘭族,男,五專,2
111,噶瑪蘭族,女,總計,39
111,噶瑪蘭族,女,博士班,0
111,噶瑪蘭族,女,碩士班,6
111,噶瑪蘭族,女,學士班,24
111,噶瑪蘭族,女,二專,2
111,噶瑪蘭族,女,五專,7
111,太魯閣族,男,總計,724
111,太魯閣族,男,博士班,11
111,太魯閣族,男,碩士班,56
111,太魯閣族,男,學士班,608
111,太魯閣族,男,二專,19
111,太魯閣族,男,五專,30
111,太魯閣族,女,總計,1086
111,太魯閣族,女,博士班,6
111,太魯閣族,女,碩士班,85
111,太魯閣族,女,學士班,701
111,太魯閣族,女,二專,50
111,太魯閣族,女,五專,244
111,撒奇萊雅族,男,總計,25
111,撒奇萊雅族,男,博士班,1
111,撒奇萊雅族,男,碩士班,5
111,撒奇萊雅族,男,學士班,17
111,撒奇萊雅族,男,二專,0
111,撒奇萊雅族,男,五專,2
111,撒奇萊雅族,女,總計,32
111,撒奇萊雅族,女,博士班,1
111,撒奇萊雅族,女,碩士班,8
111,撒奇萊雅族,女,學士班,19
111,撒奇萊雅族,女,二專,0
111,撒奇萊雅族,女,五專,4
111,賽德克族,男,總計,260
111,賽德克族,男,博士班,2
111,賽德克族,男,碩士班,43
111,賽德克族,男,學士班,199
111,賽德克族,男,二專,3
111,賽德克族,男,五專,13
111,賽德克族,女,總計,429
111,賽德克族,女,博士班,7
111,賽德克族,女,碩士班,54
111,賽德克族,女,學士班,271
111,賽德克族,女,二專,6
111,賽德克族,女,五專,91
111,拉阿魯哇族,男,總計,20
111,拉阿魯哇族,男,博士班,1
111,拉阿魯哇族,男,碩士班,5
111,拉阿魯哇族,男,學士班,12
111,拉阿魯哇族,男,二專,0
111,拉阿魯哇族,男,五專,2
111,拉阿魯哇族,女,總計,12
111,拉阿魯哇族,女,博士班,0
111,拉阿魯哇族,女,碩士班,2
111,拉阿魯哇族,女,學士班,9
111,拉阿魯哇族,女,二專,0
111,拉阿魯哇族,女,五專,1
111,卡那卡那富族,男,總計,10
111,卡那卡那富族,男,博士班,0
111,卡那卡那富族,男,碩士班,1
111,卡那卡那富族,男,學士班,9
111,卡那卡那富族,男,二專,0
111,卡那卡那富族,男,五專,0
111,卡那卡那富族,女,總計,22
111,卡那卡那富族,女,博士班,0
111,卡那卡那富族,女,碩士班,2
111,卡那卡那富族,女,學士班,17
111,卡那卡那富族,女,二專,0
111,卡那卡那富族,女,五專,3
111,尚未申報族籍,男,總計,25
111,尚未申報族籍,男,博士班,0
111,尚未申報族籍,男,碩士班,3
111,尚未申報族籍,男,學士班,21
111,尚未申報族籍,男,二專,0
111,尚未申報族籍,男,五專,1
111,尚未申報族籍,女,總計,24
111,尚未申報族籍,女,博士班,0
111,尚未申報族籍,女,碩士班,8
111,尚未申報族籍,女,學士班,16
111,尚未申報族籍,女,二專,0
111,尚未申報族籍,女,五專,0
112,總計,男,總計,10705
112,總計,男,博士班,123
112,總計,男,碩士班,918
112,總計,男,學士班,8929
112,總計,男,二專,216
112,總計,男,五專,519
112,總計,女,總計,16125
112,總計,女,博士班,107
112,總計,女,碩士班,1555
112,總計,女,學士班,10862
112,總計,女,二專,464
112,總計,女,五專,3137
112,阿美族,男,總計,3837
112,阿美族,男,博士班,26
112,阿美族,男,碩士班,266
112,阿美族,男,學士班,3312
112,阿美族,男,二專,66
112,阿美族,男,五專,167
